what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.core,1.6.5,"org.tigris.subversion.subclipse.core",1286220588087
started,bundle,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui",1286220588088
started,bundle,com.python.pydev.analysis,1.5.4.2010011921,"com.python.pydev.analysis",1286220588089
started,bundle,org.python.pydev,1.5.4.2010011921,"org.python.pydev",1286220588089
started,bundle,org.python.pydev.core,1.5.4.2010011921,"org.python.pydev.core",1286220588090
started,bundle,org.eclipse.jdt.core,3.5.1.xx-20100115-0900-e35-RELEASE,"org.eclipse.jdt.core",1286220588092
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1286220588092
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1286220588092
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1286220588093
started,bundle,org.eclipse.jst.jsf.common,1.1.9.v201001271707,"org.eclipse.jst.jsf.common",1286220588094
started,bundle,org.eclipse.jst.jsf.core,1.2.5.v201001271707,"org.eclipse.jst.jsf.core",1286220588095
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1286220588096
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1286220588096
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1286220588097
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1286220588102
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1286220588102
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1286220588103
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1286220588103
started,bundle,org.eclipse.dltk.core,1.0.2.v20100209-1928,"org.eclipse.dltk.core",1286220588104
started,bundle,org.eclipse.dltk.launching,1.0.1.v20090910-1601,"org.eclipse.dltk.launching",1286220588105
started,bundle,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui",1286220588107
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1286220588108
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1286220588109
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1286220588109
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1286220588110
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1286220588110
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1286220588111
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1286220588111
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1286220588113
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1286220588114
os,sysinfo,,,"win32",1286220588117
arch,sysinfo,,,"x86",1286220588117
ws,sysinfo,,,"win32",1286220588117
locale,sysinfo,,,"en_IN",1286220588117
processors,sysinfo,,,"2",1286220588117
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1286220588117
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1286220588117
java.specification.name,sysinfo,,,"Java Platform API Specification",1286220588117
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286220588117
java.specification.version,sysinfo,,,"1.6",1286220588117
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1286220588117
java.version,sysinfo,,,"1.6.0_17",1286220588117
java.vm.info,sysinfo,,,"mixed mode",1286220588117
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1286220588117
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1286220588117
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286220588117
java.vm.specification.version,sysinfo,,,"1.0",1286220588117
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1286220588117
java.vm.version,sysinfo,,,"14.3-b01",1286220588117
started,bundle,org.deved.antlride.integration.jdt,2.0.2.201004112039,"org.deved.antlride.integration.jdt",1286220588195
started,bundle,org.deved.antlride.core,2.0.2.201004112039,"org.deved.antlride.core",1286220588196
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1286220588243
started,bundle,org.deved.antlride.ui,2.0.2.201004112039,"org.deved.antlride.ui",1286220588245
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1286220656248
started,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1286220659950
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1286220698076
started,bundle,org.python.pydev.debug,1.5.4.2010011921,"org.python.pydev.debug",1286220702790
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1286220702796
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286220707009
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1286220708589
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286220708632
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1286220719791
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1286220725744
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1286220733188
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1286220737589
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1286220755005
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1286220759227
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1286220792151
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1286220800483
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1286220815276
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1286220815461
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1286220815859
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1286220815859
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1286220815860
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1286220815863
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1286220815874
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1286220815875
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1286220815876
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1286220815877
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.0.v200906020553,"org.eclipse.datatools.connectivity.oda.template.ui",1286220815877
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1286220815878
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1286220815879
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1286220815880
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1286220815881
